fixture_id,home_team,away_team,home_score,away_score,minute,status,region_league,match_link,timestamp,last_updated
j1FU22S6,Union de Santa Fe,Aldosivi,0,0,28,live,ARGENTINA - Liga Profesional - Apertura,https://www.flashscore.com/match/football/aldosivi-Eu4qrEcB/union-de-santa-fe-lr2YMkTK/?mid=j1FU22S6,2026-02-23T00:57:14.007+00:00,2026-02-23T06:07:17.753114+00:00
M76u92dl,Temperley,Agropecuario,1,0,90,live,ARGENTINA - Primera Nacional,https://www.flashscore.com/match/football/agropecuario-tjcHyBtO/temperley-bH5gFEj3/?mid=M76u92dl,2026-02-23T00:57:14.007+00:00,2026-02-23T06:07:17.753114+00:00
IkF6OKee,Flamengo RJ,Madureira,1,0,63,live,BRAZIL - Carioca - Taca Guanabara - Play Offs,https://www.flashscore.com/match/football/flamengo-rj-WjxY29qB/madureira-MTCPVw48/?mid=IkF6OKee,2026-02-23T00:57:14.008+00:00,2026-02-23T06:07:17.753114+00:00
OxZE5STi,EC Sao Jose,Novo Hamburgo,1,1,90+4,live,BRAZIL - Gaucho - Troféu Farroupilha - Play Offs,https://www.flashscore.com/match/football/ec-sao-jose-pa-W4mjV0z1/novo-hamburgo-tQOueDzH/?mid=OxZE5STi,2026-02-23T00:57:14.008+00:00,2026-02-23T06:07:17.753114+00:00
bFBFQKpg,Portuguesa,Corinthians,1,0,65,live,BRAZIL - Paulista - Play Offs,https://www.flashscore.com/match/football/corinthians-QBGfQbSe/portuguesa-W6KG4VEb/?mid=bFBFQKpg,2026-02-23T00:57:14.008+00:00,2026-02-23T06:07:17.753114+00:00
COyfi7Cs,U. De Chile,Limache,2,1,67,live,CHILE - Liga de Primera,https://www.flashscore.com/match/football/limache-YPTUuyqJ/u-de-chile-xW771C6U/?mid=COyfi7Cs,2026-02-23T00:57:14.008+00:00,2026-02-23T06:07:17.753114+00:00
nRFcFAjT,D. Puerto Montt,Copiapo,1,0,66,live,CHILE - Liga de Ascenso,https://www.flashscore.com/match/football/copiapo-hxNnWi6H/d-puerto-montt-WMffLgMb/?mid=nRFcFAjT,2026-02-23T00:57:14.008+00:00,2026-02-23T06:07:17.753114+00:00
xGEE35Xp,Chico,Aguilas,0,0,88,live,COLOMBIA - Primera A - Apertura,https://www.flashscore.com/match/football/aguilas-doradas-Ma0BXUXe/chico-ULWUFrRR/?mid=xGEE35Xp,2026-02-23T00:57:14.008+00:00,2026-02-23T06:07:17.753114+00:00
thHBZ88K,San Carlos,Herediano,1,0,HT,live,COSTA RICA - Primera Division - Clausura,https://www.flashscore.com/match/football/herediano-C2Qe7k37/san-carlos-69HdDuiQ/?mid=thHBZ88K,2026-02-23T00:57:14.008+00:00,2026-02-23T06:07:17.753114+00:00
zkVMFcy9,Olimpia,Motagua,0,0,HT,live,HONDURAS - Liga Nacional - Clausura,https://www.flashscore.com/match/football/motagua-pzqly0S1/olimpia-2eev0q52/?mid=zkVMFcy9,2026-02-23T00:57:14.009+00:00,2026-02-23T06:07:17.753114+00:00
8xUBjVS7,UNAM Pumas,Monterrey,2,0,90+5,live,MEXICO - Liga MX - Clausura,https://www.flashscore.com/match/football/monterrey-Ya23C2Zs/unam-pumas-UB73mIXI/?mid=8xUBjVS7,2026-02-23T00:57:14.01+00:00,2026-02-23T06:07:17.753114+00:00
K6Uz3b1c,Necaxa W,Queretaro W,2,1,90+7,live,MEXICO - Liga MX Women - Clausura,https://www.flashscore.com/match/football/necaxa-hdZ3sISr/queretaro-O07FaHlR/?mid=K6Uz3b1c,2026-02-23T00:57:14.01+00:00,2026-02-23T06:07:17.753114+00:00
Qoloxlgc,Alianza,Veraguas,4,2,75,live,PANAMA - LPF - Clausura,https://www.flashscore.com/match/football/alianza-vTbg98em/veraguas-h0WQLnxd/?mid=Qoloxlgc,2026-02-23T00:57:14.011+00:00,2026-02-23T06:07:17.753114+00:00
WA1pNEBU,Cusco,Comerciantes Unidos,2,1,65,live,PERU - Liga 1 - Apertura,https://www.flashscore.com/match/football/comerciantes-unidos-ABEwYY2S/cusco-zDuHd68m/?mid=WA1pNEBU,2026-02-23T00:57:14.011+00:00,2026-02-23T06:07:17.753114+00:00
