fixture_id,home_team,away_team,home_score,away_score,minute,status,region_league,match_link,timestamp,last_updated
Eyk6ZzWg,Mixto,Botafogo PB,2,1,Pen,penalties,BRAZIL - Copa Betano do Brasil,https://www.flashscore.com/match/football/botafogo-pb-Cn683fHp/mixto-IHSdX7h2/?mid=Eyk6ZzWg,2026-02-26T20:30:06.888+00:00,2026-02-26T20:30:07.914302+00:00
URGJBUPa,Tersana,Proxy,1,0,HT,halftime,EGYPT - Division 2 A,https://www.flashscore.com/match/football/proxy-ARsfCqEI/tersana-Onos85dp/?mid=URGJBUPa,2026-02-26T20:30:06.888+00:00,2026-02-26T20:30:07.914302+00:00
bcTx6el3,IR Reykjavik,Grindavik,0,1,31,live,ICELAND - League Cup,https://www.flashscore.com/match/football/grindavik-zi44AFXa/ir-reykjavik-WU9JK0DR/?mid=bcTx6el3,2026-02-26T20:30:06.889+00:00,2026-02-26T20:30:07.914302+00:00
2XKt3gfU,Shimshon Tel Aviv,Ramat Hasharon,4,2,90+6,live,ISRAEL - Liga Alef South,https://www.flashscore.com/match/football/ramat-hasharon-tv2KcqX8/shimshon-tel-aviv-QNIKZx6d/?mid=2XKt3gfU,2026-02-26T20:30:06.889+00:00,2026-02-26T20:30:07.914302+00:00
6sZI1oIs,Al Hussein,Al Buqaa,4,2,80,live,JORDAN - Premier League,https://www.flashscore.com/match/football/al-buqaa-vsbYw1n7/al-hussein-j9mK0B3Q/?mid=6sZI1oIs,2026-02-26T20:30:06.889+00:00,2026-02-26T20:30:07.914302+00:00
M9cn77fK,Al Wehdat,Al Salt,1,1,90,live,JORDAN - Premier League,https://www.flashscore.com/match/football/al-salt-bHIHtuAP/al-wehdat-dGsh4eOj/?mid=M9cn77fK,2026-02-26T20:30:06.889+00:00,2026-02-26T20:30:07.914302+00:00
6JohFmT6,Plzen,Panathinaikos,1,1,Pen,penalties,EUROPE - Europa League,https://www.flashscore.com/match/football/panathinaikos-SENMmweG/plzen-2LA0e86b/?mid=6JohFmT6,2026-02-26T20:30:06.886+00:00,2026-02-26T20:30:07.914302+00:00
GIPAxAZA,Argentinos Jrs (Arg),Barcelona SC (Ecu),0,2,Pen,penalties,SOUTH AMERICA - Copa Libertadores,https://www.flashscore.com/match/football/argentinos-jrs-QuxS0ahA/barcelona-sc-pCMG6CNp/?mid=GIPAxAZA,2026-02-26T20:30:06.887+00:00,2026-02-26T20:30:07.914302+00:00
0YyABEQp,Racing Club,Ind. Rivadavia,0,0,15,live,ARGENTINA - Liga Profesional - Apertura,https://www.flashscore.com/match/football/ind-rivadavia-Eg51aDC4/racing-club-OhapHPm9/?mid=0YyABEQp,2026-02-26T20:30:06.887+00:00,2026-02-26T20:30:07.914302+00:00
nudN2uGE,Nova Iguacu,Portuguesa RJ,0,0,30,live,BRAZIL - Carioca,https://www.flashscore.com/match/football/nova-iguacu-6ZOUj7Tc/portuguesa-rj-MVetMLIi/?mid=nudN2uGE,2026-02-26T20:30:06.887+00:00,2026-02-26T20:30:07.914302+00:00
fo9yuxO7,Sampaio Correa FE,Marica,0,0,30,live,BRAZIL - Carioca,https://www.flashscore.com/match/football/marica-xW7xjZkH/sampaio-correa-fe-6idiTLqA/?mid=fo9yuxO7,2026-02-26T20:30:06.887+00:00,2026-02-26T20:30:07.914302+00:00
va4VPOAU,Gama,Goias,2,3,Pen,penalties,BRAZIL - Copa Betano do Brasil,https://www.flashscore.com/match/football/gama-zPtZ30K2/goias-hfAZyE0t/?mid=va4VPOAU,2026-02-26T20:30:06.888+00:00,2026-02-26T20:30:07.914302+00:00
8A70DTb3,Crystal Palace,Zrinjski,0,0,30,live,EUROPE - Conference League,https://www.flashscore.com/match/football/crystal-palace-AovF1Mia/zrinjski-0C6tPiIc/?mid=8A70DTb3,2026-02-26T20:30:06.887+00:00,2026-02-26T20:30:07.914302+00:00
2DKEkQ6d,Lausanne,Sigma Olomouc,0,1,30,live,EUROPE - Conference League,https://www.flashscore.com/match/football/lausanne-Wd10iFbk/sigma-olomouc-drA4fSL4/?mid=2DKEkQ6d,2026-02-26T20:30:06.887+00:00,2026-02-26T20:30:07.914302+00:00
zw3F7bSs,Lech Poznan,KuPS,0,0,30,live,EUROPE - Conference League,https://www.flashscore.com/match/football/kups-nLBbqJDS/lech-poznan-OpNH7Ouf/?mid=zw3F7bSs,2026-02-26T20:30:06.887+00:00,2026-02-26T20:30:07.914302+00:00
8t0uA1kt,Sarmiento Junin,Union de Santa Fe,0,2,14,live,ARGENTINA - Liga Profesional - Apertura,https://www.flashscore.com/match/football/sarmiento-junin-KQ6kGfyc/union-de-santa-fe-lr2YMkTK/?mid=8t0uA1kt,2026-02-26T20:30:06.887+00:00,2026-02-26T20:30:07.914302+00:00
4AEhcVA6,Abu Qir Semad,Masar,1,1,HT,halftime,EGYPT - Division 2 A,https://www.flashscore.com/match/football/abu-qir-semad-0jGgnDRP/masar-8nemvXht/?mid=4AEhcVA6,2026-02-26T20:30:06.888+00:00,2026-02-26T20:30:07.914302+00:00
reQqaitf,El-Entag El-Harby,Al-Sekka,0,0,HT,halftime,EGYPT - Division 2 A,https://www.flashscore.com/match/football/al-sekka-jw5i5tLk/el-entag-el-harby-Y1fm0wSq/?mid=reQqaitf,2026-02-26T20:30:06.888+00:00,2026-02-26T20:30:07.914302+00:00
CzI0e9uJ,Tanta,Al Qanah,0,0,HT,halftime,EGYPT - Division 2 A,https://www.flashscore.com/match/football/al-qanah-nL7hY2js/tanta-na5wg1oG/?mid=CzI0e9uJ,2026-02-26T20:30:06.888+00:00,2026-02-26T20:30:07.914302+00:00
vkGlzptf,Beit Shean,MS Tira,0,0,90+4,live,ISRAEL - Liga Alef North,https://www.flashscore.com/match/football/beit-shean-p2R286ri/ms-tira-nybNr5zs/?mid=vkGlzptf,2026-02-26T20:30:06.889+00:00,2026-02-26T20:30:07.914302+00:00
KYUTWO7j,Sint Maarten U20,Costa Rica U20,0,4,29,live,NORTH & CENTRAL AMERICA - CONCACAF Championship U20,https://www.flashscore.com/match/football/costa-rica-lKkY6nIp/sint-maarten-4UFbNsVc/?mid=KYUTWO7j,2026-02-26T20:30:06.89+00:00,2026-02-26T20:30:07.914302+00:00
rkJRSMeD,Al-Gharafa,Al Rayyan,3,2,90+10,live,QATAR - QSL,https://www.flashscore.com/match/football/al-gharafa-SQrTeoKd/al-rayyan-SWo1QmYO/?mid=rkJRSMeD,2026-02-26T20:30:06.89+00:00,2026-02-26T20:30:07.914302+00:00
j3iStfwn,Bologna,Brann,0,0,29,live,EUROPE - Europa League,https://www.flashscore.com/match/football/bologna-0M9xNN8N/brann-QBbt6ivB/?mid=j3iStfwn,2026-02-26T20:30:06.886+00:00,2026-02-26T20:30:07.914302+00:00
QupxJVTs,Celta Vigo,PAOK,0,0,30,live,EUROPE - Europa League,https://www.flashscore.com/match/football/celta-vigo-8pvUZFhf/paok-Kry6HxA9/?mid=QupxJVTs,2026-02-26T20:30:06.886+00:00,2026-02-26T20:30:07.914302+00:00
tjTqLwHP,Genk,Din. Zagreb,0,0,30,live,EUROPE - Europa League,https://www.flashscore.com/match/football/din-zagreb-8G5ufQTg/genk-r3jWUIiN/?mid=tjTqLwHP,2026-02-26T20:30:06.886+00:00,2026-02-26T20:30:07.914302+00:00
25ceSfOh,Nottingham,Fenerbahce,0,1,29,live,EUROPE - Europa League,https://www.flashscore.com/match/football/fenerbahce-MsbmracL/nottingham-UsushcZr/?mid=25ceSfOh,2026-02-26T20:30:06.886+00:00,2026-02-26T20:30:07.914302+00:00
xjaH9obS,AZ Alkmaar,Noah,1,0,29,live,EUROPE - Conference League,https://www.flashscore.com/match/football/az-alkmaar-2RxOow1i/noah-IeATrtcs/?mid=xjaH9obS,2026-02-26T20:30:06.887+00:00,2026-02-26T20:30:07.914302+00:00
OEoJDjem,El Mansoura,Maleyeit Kafr El Zayiat,0,0,HT,halftime,EGYPT - Division 2 A,https://www.flashscore.com/match/football/el-mansoura-dt3L4JJS/maleyeit-kafr-el-zayiat-4bLm8fm3/?mid=OEoJDjem,2026-02-26T20:30:06.888+00:00,2026-02-26T20:30:07.914302+00:00
I5WDplMP,Akranes,Valur,2,1,71,live,ICELAND - League Cup,https://www.flashscore.com/match/football/akranes-zgqsIZWO/valur-GdxJccH5/?mid=I5WDplMP,2026-02-26T20:30:06.889+00:00,2026-02-26T20:30:07.914302+00:00
