rl_id,region,region_flag,region_url,league,league_crest,league_url,date_updated,last_updated
catarinense,BRAZIL,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADAAAAAgCAIAAADbtmxLAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAABl0RVh0QUxUVGFnAFdvcmxkIEZsYWdzIFBhcnQgMUbkMx0AAAAudEVYdENvcHlyaWdodABXb3JsZCBGbGFncyBQYXJ0IDEgYnkgRHJlYW1zdGFsZS5jb21LwLjHAAAAImlUWHREZXNjcmlwdGlvbgAAAAAAV29ybGQgRmxhZ3MgUGFydCAxRqup1QAAADJpVFh0Q29weXJpZ2h0AAAAAABXb3JsZCBGbGFncyBQYXJ0IDEgYnkgRHJlYW1zdGFsZS5jb21183mwAAAEuElEQVR42uxXbWxTVRhut35tbW9Xutp2ra3boN3GNnE2q/4AXEYMRmMmLoJEJDH8MAGjKGrYPzEBjIkanEIi/lATRf8oKn6gMDIwkUqcWHFr54o1/f5cd9uuvV07n3rnpay06zasxPjmpjn39Jz3POc573ne97JvPvQg60ayKtYNZv9RQE9oIniuiyvOMud3E8mDTX41fwbtXml878RNownechxWS+5pW9pMojr7jDb8QmOQ4GTpHjk3s0UxhdeLMUFqll3RIwMxn3Q4tyujhX+hE39hQIWODMQM6EIPyEmmxzNJeKIE3dYrAiJBCif4Xqv7Ha9k0CmdylT9g4A2SOMHmgPARL+euNj29rAJgPLHrDNMbDb91KXL8Qfceyfk30aE5S/BLlMYAQJQAIhh5fmP7hv3yYuN32waeeruYboNQIBVJlVlBTU2erTF21pL0a+xJH/L4Ue9UaLElEsuFQasM9jRbqpJI9iD6eqxBH+5gBANb+p9IJ9fNct07n6/zxFasaBr8CcWUO0aL9qYvkGaMBFJM1lDlqSqFCDgeGWVH/u76loSxoS2r6bZtfEuHVt3Wa1P96xu53N4bn+s0MMvLuWm2y08TobZHsimsmzowuIA0cSA53xiaLNnHvNSYlvY3iBSXAhdIBoSnatXUGrbI/0r1Rp+//p2sbDaenlODqgZjq4+olcGmOlwuLZuGlTh+HCIZQFCEnhD76PFt9AeeqmtRa0a+jz93bkoaVW5fpAH7ULZjM4zFWxsZfNlyTOec7yUlJycGy8WpOhImrdh7JbNZpmnakpde4TtgWY/E7zXNET00PceMn7lHK32MJ7c2sLss3sURoOW1Afd45yxk3IyTs0ThXzbpY4UZpur4qtFmCpGTL4xJyIWcl8dMDFtLH/ksPP4oMBq5tj4w5p+s7FDWdoVlsOiRVPHxwFxn0VTSGOhGTvq8YCn3fvP02j2PdmFX7c/AVhjZyRK83YVX7NvYM3WjXXFnECfsBwWLZXLXCnOtlHVTpuimI5BiHvuUPWYVGQsbWiU0J3oOfLBGCAyw9w+cvbnTlaas75zutAJnGMJPFiurOQK7L0j2nnY/wZkt9qjLx+1YHnwQXd+euqPxx9uQWwxw8CWsV22Y8/pTOCzazovlk+K6hDqB8yBjpmIaabAyKVPZeDEj9pwXEhRuU6c1NdnXWj87oyFJlP392oNTRI84GzovGet9uRtWns+/TvHlW+560oUJwsoNVyAJ4jHGtGV0IP4fnNJ7wnOIIYs1gh944AmR4yIC/5A3qF3fxWyHS9u+pKZheT/9G8Ke5K73FyG3ZyN1p6KCG8VJ1GCoUcmSty50gFM0D3m/tMn2KCoRbteKuAmLa9tPU5rNE3MMT9RTtVWbsUIVYVHSBldeQETckI4XsskfDqe8MtjBboVXz1372kazaBLCqVZkJhFlx/5ynGwKdBNTDM6afPJRxwatEX8VNctzlWKuUQBuVtCic1e2oci8u4uTYSp1AoNxLzulFauyEe6/iIkAlvzagEYdHXbaMOiqsTr812WC9W/xI2RUDT2O2TQ1UK5q8Rn0Fw1kuR96COgC1S2aodVhfv4L38oMsT8/21fKftTgAEAfTYwfnA3z5sAAAAASUVORK5CYII=",https://www.flashscore.com/football/brazil/,CATARINENSE - RELEGATION GROUP - ROUND 2,,https://www.flashscore.com/football/brazil/catarinense/,2026-02-13T13:48:18.176920,2026-02-13T13:48:18.176940
mineiro,BRAZIL,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADAAAAAgCAIAAADbtmxLAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAABl0RVh0QUxUVGFnAFdvcmxkIEZsYWdzIFBhcnQgMUbkMx0AAAAudEVYdENvcHlyaWdodABXb3JsZCBGbGFncyBQYXJ0IDEgYnkgRHJlYW1zdGFsZS5jb21LwLjHAAAAImlUWHREZXNjcmlwdGlvbgAAAAAAV29ybGQgRmxhZ3MgUGFydCAxRqup1QAAADJpVFh0Q29weXJpZ2h0AAAAAABXb3JsZCBGbGFncyBQYXJ0IDEgYnkgRHJlYW1zdGFsZS5jb21183mwAAAEuElEQVR42uxXbWxTVRhut35tbW9Xutp2ra3boN3GNnE2q/4AXEYMRmMmLoJEJDH8MAGjKGrYPzEBjIkanEIi/lATRf8oKn6gMDIwkUqcWHFr54o1/f5cd9uuvV07n3rnpay06zasxPjmpjn39Jz3POc573ne97JvPvQg60ayKtYNZv9RQE9oIniuiyvOMud3E8mDTX41fwbtXml878RNownechxWS+5pW9pMojr7jDb8QmOQ4GTpHjk3s0UxhdeLMUFqll3RIwMxn3Q4tyujhX+hE39hQIWODMQM6EIPyEmmxzNJeKIE3dYrAiJBCif4Xqv7Ha9k0CmdylT9g4A2SOMHmgPARL+euNj29rAJgPLHrDNMbDb91KXL8Qfceyfk30aE5S/BLlMYAQJQAIhh5fmP7hv3yYuN32waeeruYboNQIBVJlVlBTU2erTF21pL0a+xJH/L4Ue9UaLElEsuFQasM9jRbqpJI9iD6eqxBH+5gBANb+p9IJ9fNct07n6/zxFasaBr8CcWUO0aL9qYvkGaMBFJM1lDlqSqFCDgeGWVH/u76loSxoS2r6bZtfEuHVt3Wa1P96xu53N4bn+s0MMvLuWm2y08TobZHsimsmzowuIA0cSA53xiaLNnHvNSYlvY3iBSXAhdIBoSnatXUGrbI/0r1Rp+//p2sbDaenlODqgZjq4+olcGmOlwuLZuGlTh+HCIZQFCEnhD76PFt9AeeqmtRa0a+jz93bkoaVW5fpAH7ULZjM4zFWxsZfNlyTOec7yUlJycGy8WpOhImrdh7JbNZpmnakpde4TtgWY/E7zXNET00PceMn7lHK32MJ7c2sLss3sURoOW1Afd45yxk3IyTs0ThXzbpY4UZpur4qtFmCpGTL4xJyIWcl8dMDFtLH/ksPP4oMBq5tj4w5p+s7FDWdoVlsOiRVPHxwFxn0VTSGOhGTvq8YCn3fvP02j2PdmFX7c/AVhjZyRK83YVX7NvYM3WjXXFnECfsBwWLZXLXCnOtlHVTpuimI5BiHvuUPWYVGQsbWiU0J3oOfLBGCAyw9w+cvbnTlaas75zutAJnGMJPFiurOQK7L0j2nnY/wZkt9qjLx+1YHnwQXd+euqPxx9uQWwxw8CWsV22Y8/pTOCzazovlk+K6hDqB8yBjpmIaabAyKVPZeDEj9pwXEhRuU6c1NdnXWj87oyFJlP392oNTRI84GzovGet9uRtWns+/TvHlW+560oUJwsoNVyAJ4jHGtGV0IP4fnNJ7wnOIIYs1gh944AmR4yIC/5A3qF3fxWyHS9u+pKZheT/9G8Ke5K73FyG3ZyN1p6KCG8VJ1GCoUcmSty50gFM0D3m/tMn2KCoRbteKuAmLa9tPU5rNE3MMT9RTtVWbsUIVYVHSBldeQETckI4XsskfDqe8MtjBboVXz1372kazaBLCqVZkJhFlx/5ynGwKdBNTDM6afPJRxwatEX8VNctzlWKuUQBuVtCic1e2oci8u4uTYSp1AoNxLzulFauyEe6/iIkAlvzagEYdHXbaMOiqsTr812WC9W/xI2RUDT2O2TQ1UK5q8Rn0Fw1kuR96COgC1S2aodVhfv4L38oMsT8/21fKftTgAEAfTYwfnA3z5sAAAAASUVORK5CYII=",https://www.flashscore.com/football/brazil/,MINEIRO - ROUND 7,,https://www.flashscore.com/football/brazil/mineiro/,2026-02-13T13:48:20.749433,2026-02-13T13:48:20.749450
liga-de-primera,CHILE,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADAAAAAgCAIAAADbtmxLAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAABl0RVh0QUxUVGFnAFdvcmxkIEZsYWdzIFBhcnQgMUbkMx0AAAAudEVYdENvcHlyaWdodABXb3JsZCBGbGFncyBQYXJ0IDEgYnkgRHJlYW1zdGFsZS5jb21LwLjHAAAAImlUWHREZXNjcmlwdGlvbgAAAAAAV29ybGQgRmxhZ3MgUGFydCAxRqup1QAAADJpVFh0Q29weXJpZ2h0AAAAAABXb3JsZCBGbGFncyBQYXJ0IDEgYnkgRHJlYW1zdGFsZS5jb21183mwAAAA5UlEQVR42mJUdpnDQDQw05NY2OHGQEvAxDDIwBBxEB8P2+ByUF6skaay8IA4iAWrqKu1/Kevv67ffTuQDpIR5wlyVwPFFzebtDhPsJsqRPzpi89rd90egCh78vLL9TtvEwK1E4K0gVygm/JiDV2t5E5efD5gaWj3sYd+Ges/ffkF5/pmbAA6dIATNTCLQdwEjMSBz2Uu1vLAOHKIXRldsk1anJf+bkLPZdfvvluw7iqQAXEWMIEPsIOQkzAw4uDpabTqGHUQLsB42UxrNIRGHTTqoFEHjTpo1EGjDhp10Eh2EECAAQAp00ZUCJ0gywAAAABJRU5ErkJggg==",https://www.flashscore.com/football/chile/,LIGA DE PRIMERA - ROUND 2,,https://www.flashscore.com/football/chile/liga-de-primera/,2026-02-14T06:14:27.223475,2026-02-14T06:14:27.223480
copa-de-primera,PARAGUAY,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADAAAAAgCAIAAADbtmxLAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAABl0RVh0QUxUVGFnAFdvcmxkIEZsYWdzIFBhcnQgMt/tYqcAAAAudEVYdENvcHlyaWdodABXb3JsZCBGbGFncyBQYXJ0IDIgYnkgRHJlYW1zdGFsZS5jb23olj5uAAAAImlUWHREZXNjcmlwdGlvbgAAAAAAV29ybGQgRmxhZ3MgUGFydCAy36L4bwAAADJpVFh0Q29weXJpZ2h0AAAAAABXb3JsZCBGbGFncyBQYXJ0IDIgYnkgRHJlYW1zdGFsZS5jb23Wpf8ZAAABN0lEQVR42mI8p2nIMJgAE8MgA6MOGnXQqINGHTTQgIXbxGhQOYjx169fVDCFkRFI/v//nwohRGmUMzF9O32WS37nr+esf345cZka//v3b8DSENA1n7cVsHHG3H/4kk3yNxt3DpALFBywKPt9be1vgZygxRY/PzLryeh9Y3vRZ7uJ6ck0bme/AQghYLphZt+38orJ69dsrVYfwuUOXbr+5+QHLTbh3ZAkNTBpiI+T9+NPhs8/uYDsj7+YGZgEGP5/GJhEDcxTX694Gt6+qSJ7pe2yIBMDh6DIQ5mlcr/9HFgpyG4UpSFmZuZbvsGMNuaHOb8DuT6MYh927VHbvPbv378DVg4B3fR2wZIPu/cC2QKuzsIJMZS4ZlAWjDEVOwdXXXby0ovR2n7UQaMOGnXQqIMGs4MAAgwAHc1y/a8IH6EAAAAASUVORK5CYII=",https://www.flashscore.com/football/paraguay/,COPA DE PRIMERA - APERTURA - ROUND 4,None,https://www.flashscore.com/football/paraguay/copa-de-primera/,14.02.2026,2026-02-14T06:18:27.970127+00:00
primera-a,COLOMBIA,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADAAAAAgCAIAAADbtmxLAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAABl0RVh0QUxUVGFnAFdvcmxkIEZsYWdzIFBhcnQgMUbkMx0AAAAudEVYdENvcHlyaWdodABXb3JsZCBGbGFncyBQYXJ0IDEgYnkgRHJlYW1zdGFsZS5jb21LwLjHAAAAImlUWHREZXNjcmlwdGlvbgAAAAAAV29ybGQgRmxhZ3MgUGFydCAxRqup1QAAADJpVFh0Q29weXJpZ2h0AAAAAABXb3JsZCBGbGFncyBQYXJ0IDEgYnkgRHJlYW1zdGFsZS5jb21183mwAAAARklEQVR42uzQwQ0AEQAAQUQtl3hSjhb06nnN+CiDyGwFk43rb+GmUrgsICAgICAgoNdB+RvdISAgoJPFWapDQEBAJ9sCDABlGgRXPH6FtgAAAABJRU5ErkJggg==",https://www.flashscore.com/football/colombia/,PRIMERA A - APERTURA - ROUND 5,None,https://www.flashscore.com/football/colombia/primera-a/,14.02.2026,2026-02-14T06:18:31.142929+00:00
liga-futve,VENEZUELA,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADAAAAAgCAIAAADbtmxLAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAABl0RVh0QUxUVGFnAFdvcmxkIEZsYWdzIFBhcnQgMt/tYqcAAAAudEVYdENvcHlyaWdodABXb3JsZCBGbGFncyBQYXJ0IDIgYnkgRHJlYW1zdGFsZS5jb23olj5uAAAAImlUWHREZXNjcmlwdGlvbgAAAAAAV29ybGQgRmxhZ3MgUGFydCAy36L4bwAAADJpVFh0Q29weXJpZ2h0AAAAAABXb3JsZCBGbGFncyBQYXJ0IDIgYnkgRHJlYW1zdGFsZS5jb23Wpf8ZAAABgklEQVR42mL8ftWQYTABJoZBBkYdNOqgUQeNOmigAcuUHaaDykGM8i6zKdEvI84rI8Fz4uJzINtCX/LJiy9PXn6mKITIdgfQYqALQtzUgOSuow+Agm7WCkCXrdl1C0hCFNAvDdVlWRxZEvHpyy+w43iu3X0HREAGkAsUBEoBFZBnMrOAkh+petys5N2s5dnZWNjZmDcfuNc0/cTrd9+fvPwyYfG51++/+zooKcsJAKWAgncff6RtGkoK0gFG0Lx1VyBcSNLB6uJPX39B1APVwNXTJA0BLQNGTUTJVkh8YQW7jj3k42Fb0eOtpSyMy9FUiDJgOhUV4jpxCejjq8AIwq/456+/56+/BkYZ0N0g9PUXlR0EDJjyFFM+HvalW27cffyBGC3A9ARMRiHuaiFuqkA3EZmeiM1lwIABph4g+vT1J/HhD1QM0QXUTv00lFa/W0tFGE/SweKgL7+AxdK1O29JyGVLDP0HV12m8/P5oHLQaPNj1EGjDhp10KiD0ABAgAEAy8KtxeGW0/IAAAAASUVORK5CYII=",https://www.flashscore.com/football/venezuela/,LIGA FUTVE - APERTURA - ROUND 2,None,https://www.flashscore.com/football/venezuela/liga-futve/,14.02.2026,2026-02-14T06:18:29.434561+00:00
liga-profesional,ARGENTINA,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADAAAAAgCAIAAADbtmxLAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAABl0RVh0QUxUVGFnAFdvcmxkIEZsYWdzIFBhcnQgMUbkMx0AAAAudEVYdENvcHlyaWdodABXb3JsZCBGbGFncyBQYXJ0IDEgYnkgRHJlYW1zdGFsZS5jb21LwLjHAAAAImlUWHREZXNjcmlwdGlvbgAAAAAAV29ybGQgRmxhZ3MgUGFydCAxRqup1QAAADJpVFh0Q29weXJpZ2h0AAAAAABXb3JsZCBGbGFncyBQYXJ0IDEgYnkgRHJlYW1zdGFsZS5jb21183mwAAABZklEQVR42uyVwUrDQBCGd8NiWxpohWgkWMFCvdmLCkr1ZE8i6MFX8V18BvEsKAoeLEVtvYSKUAxIEJtYTdukZoNp1in6BK40Oeywh2Vgl4+Zf/7Bh8dtlKSQUMJCAAkgASSA4g583npPFhBjjPcPajFqo9DDchGlVc7PCNfrcMi6deYarKcjkh0DZVRprgr3eICizgU1r5/v640bP0XoUlkrrZQyIMz5vTiAwiFyjbuz2/7bYGdfDeioUbMoHa3lNcRRpL8DMc9g1KLuYLWinJ6YkKlsq+0HZywpz8D55YmPfehBVYIwnZueWijKcFQtY7/6kAGmOFpG5JScA+nozVFhMQtwevNjtqCklRICdU/eGKEpmGS3DqoBjRq1rt50+s7X5m4ZBg1zAPH5ELWiziXyrZ75CCqG3uGZDUlZ53GjfzDGsbrBh35qxlGbX6An+zNRq4McXb2IbS+ABJAAEkBJBvoWYABdu41Ctzf5LgAAAABJRU5ErkJggg==",https://www.flashscore.com/football/argentina/,LIGA PROFESIONAL - APERTURA - ROUND 4,None,https://www.flashscore.com/football/argentina/liga-profesional/,14.02.2026,2026-02-14T06:18:35.641312+00:00
trophee-gerard-janvion,MARTINIQUE,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADAAAAAgCAIAAADbtmxLAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAABl0RVh0QUxUVGFnAFdvcmxkIEZsYWdzIFBhcnQgMt/tYqcAAAAudEVYdENvcHlyaWdodABXb3JsZCBGbGFncyBQYXJ0IDIgYnkgRHJlYW1zdGFsZS5jb23olj5uAAAAImlUWHREZXNjcmlwdGlvbgAAAAAAV29ybGQgRmxhZ3MgUGFydCAy36L4bwAAADJpVFh0Q29weXJpZ2h0AAAAAABXb3JsZCBGbGFncyBQYXJ0IDIgYnkgRHJlYW1zdGFsZS5jb23Wpf8ZAAAATUlEQVR42mLUsJjAQDQwNZSeO9GfgRTw1cOGJPVMDIMMjDpo1EGjDhp10KiDRh006qBRB406aNRBow4addCog0YdNOqgUQcNbwcBBBgAMi0Ep2UQUt4AAAAASUVORK5CYII=",https://www.flashscore.com/football/martinique/,TROPHEE GERARD JANVION - ROUND 15,,https://www.flashscore.com/football/martinique/trophee-gerard-janvion/,13.02.2026,2026-02-13T13:48:54.336326+00:00
tt-premier-league,TRINIDAD AND TOBAGO,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADAAAAAgCAIAAADbtmxLAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAABl0RVh0QUxUVGFnAFdvcmxkIEZsYWdzIFBhcnQgMt/tYqcAAAAudEVYdENvcHlyaWdodABXb3JsZCBGbGFncyBQYXJ0IDIgYnkgRHJlYW1zdGFsZS5jb23olj5uAAAAImlUWHREZXNjcmlwdGlvbgAAAAAAV29ybGQgRmxhZ3MgUGFydCAy36L4bwAAADJpVFh0Q29weXJpZ2h0AAAAAABXb3JsZCBGbGFncyBQYXJ0IDIgYnkgRHJlYW1zdGFsZS5jb23Wpf8ZAAADbElEQVR42ryY30tTYRjHN6WSbJuZ2s8ZYprhiPK3zpjbKLYcaoNSiEToIujG/6Cb3XlTu6krryLIAsUgGpgML9Iuchc1LzTDREiQFm0aOkvqY6+Nsp1X587xYZzBOc855/s+7/f7fZ5N7/F4RkdHdcrR3t7u8/mMRuN8z93Io8c6jSMzHA7Pzc1NTEwoZXApGAy2tbXlOZr2Hj8WC45oCihjbXHR7/dTA0kSoJ1OJ8hyWpqLeh9kGgwaVuj61KzBWl/dZDObzWNjY/F4PGleLBYbHBysrKwsrq0xWOuigZc/V1c1qdDK5NT0tRsc4Up/f7/JZFJKjUajXq+3r68v63Rp6YsBjppU6Fb+UdbKivfkHSq8YHU4HKFQaGFhQemGQCDAsdFuN7kurs7Mxj/Oqg+ILzDBVjgLJvgLiyWYUCU6uNzaCqbvn+ZXJt+rD2iDKMERXpDvvtTZ2bml9CgV0ElWV3r/ACJYLp8D1joKIIqhdCclpJB2u/1wTRWYvr0JqUJzfejM+f/PQtii3vvIGwp3d3dL7kcESKG8vBxZzNy8jYmkq7KkZ3n6h9Sld+rJw/Slt3nLErG2uIT09p+1YDxIj93BipJmYl3wCdCYGTRfevX6RySiPiAhva/PngvpdXR0yKXHVSG93KvedKQnA5SQHtWikaGp6d8hkR5BOZGeTq+H5poAIpbfhYUdgEluB8AVnTjXWr8zO0iusqSxO9LbVoVEQFUIC83P2WwWi4VKKHViztOJS0pKyupq6cTcxaanJXulECvm6HK5trSDrq4uYQfFqdhBChVKSO/L04FE12NikXdizMLpcmEHa58j25FeyoAS0ss0Go40rmMaHx+H6UqZ4irTAZpg49CHJoAImCGkh5urOATvHJDoxJiN0WFbH0VMJt4q78QMnGx0Vlkpi1HqxCnIfnfsIEOXdvD0KfcV0YmHh4fl0uPHgnwITmvL/pYenXhf0UlzTXVKQ/Dy2/UeoD6gP5iGUh2CD7Z6NnVi1QBtGoLBBCC59IDldrtJxkGguSaAhPTAlNtYTwFwRXxIKZMiiSEYP0sMwSqoTF3pqV+hRCeOBYayqyvoxA0NDRBZ3okLCgrIpBNrVaENQhgMhfd6sqsqYAyjN7KXJPv9foxDW0AiTvju5LQ0wycwhcNh+V8/vwQYACJCcanTbw7mAAAAAElFTkSuQmCC",https://www.flashscore.com/football/trinidad-and-tobago/,TT PREMIER LEAGUE,,https://www.flashscore.com/football/trinidad-and-tobago/tt-premier-league/,13.02.2026,2026-02-13T13:48:59.389413+00:00
liga-auf-uruguaya,URUGUAY,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADAAAAAgCAIAAADbtmxLAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAABl0RVh0QUxUVGFnAFdvcmxkIEZsYWdzIFBhcnQgMt/tYqcAAAAudEVYdENvcHlyaWdodABXb3JsZCBGbGFncyBQYXJ0IDIgYnkgRHJlYW1zdGFsZS5jb23olj5uAAAAImlUWHREZXNjcmlwdGlvbgAAAAAAV29ybGQgRmxhZ3MgUGFydCAy36L4bwAAADJpVFh0Q29weXJpZ2h0AAAAAABXb3JsZCBGbGFncyBQYXJ0IDIgYnkgRHJlYW1zdGFsZS5jb23Wpf8ZAAAB+ElEQVR42uxWO0jDUBS91zZ+otbPUpHUDw6FFj+DYNvBRRxc3JwUlzrrIM7iroiu6iDoIN2cdBInFRyshYKgU6sYlKJVSk3V571NKlIFB0msksPj8RIS7uGec957qGkalBLKoMTwFaFckuf7CM8vaePRKjg/v0J1TigrmI0LOYlX07Qu+uDo9PooplpBCG8XRUMYcgniBNk4POxC5gAcLl446kAOGIRi6tLGiRWEhBzEixDIQUitMT9iQ/PVNKkmWres9RD1gAahwm8s3kFmqg7geUhnaTbQiD2Z9z6CVJuUAtjee+r2OqNnzzS3Nju4ec0LUDei/5NUHy/VR5Mle4rjaxokj05o/1i7e3glWpOjMhOSFPY4RFhNSVHcNTRMJiQpbCDqUx7jw1WDE6lur9TfW87PDpeo9DFdSbEq9nolfe8BqK/F+ZnatrxYjGwcU2uiMQwQMDv2BQ9RScq8HMDMYbGpdQORWBS6vI2WN6Pmxb6Qskofb4DUp1yCq9LeQ0MXyz2LN4tQ5no3tYVHB+037TtQrnDtCr9BkTqkrJLrf+PoYJcAaElRP4K0kIOiJchSkqM/oK/TPTXWY7KHPoPMVDgrrASW2n3ISRkuKULoGVixb4x/ipDTvAD/k5TZHvrWQx1D63aH/pZkfV1NduxtD/0EbwIMAEvhwcONWnYOAAAAAElFTkSuQmCC",https://www.flashscore.com/football/uruguay/,LIGA AUF URUGUAYA - CLAUSURA - ROUND 15,None,https://www.flashscore.com/football/uruguay/liga-auf-uruguaya/,14.02.2026,2026-02-15T04:16:32.279268+00:00
