fixture_id,date,match_time,region_league,league_id,home_team,away_team,home_team_id,away_team_id,home_score,away_score,match_status,match_link,league_stage,last_updated
rqaBOCNH,26.02.2026,18:45,EUROPE - Europa League,t6Dr0fQr,Crvena zvezda,Lille,ncRzHK14,pfDZL71o,0,2,scheduled,https://www.flashscore.com/match/football/crvena-zvezda-ncRzHK14/lille-pfDZL71o/?mid=rqaBOCNH,Play Offs,2026-02-26T20:28:57.682755+00:00
pnINDe9a,26.02.2026,18:45,EUROPE - Europa League,t6Dr0fQr,Ferencvaros,Ludogorets,pKS9M7R7,GrLjfV3M,2,0,scheduled,https://www.flashscore.com/match/football/ferencvaros-pKS9M7R7/ludogorets-GrLjfV3M/?mid=pnINDe9a,Play Offs,2026-02-26T20:28:57.682755+00:00
6JohFmT6,26.02.2026,18:45,EUROPE - Europa League,t6Dr0fQr,Plzen,Panathinaikos,SENMmweG,2LA0e86b,1,1,scheduled,https://www.flashscore.com/match/football/panathinaikos-SENMmweG/plzen-2LA0e86b/?mid=6JohFmT6,Play Offs,2026-02-26T20:28:57.682755+00:00
QPJwAD8O,26.02.2026,18:45,EUROPE - Europa League,t6Dr0fQr,Stuttgart,Celtic,QFKRRD8M,nJQmYp1B,0,1,scheduled,https://www.flashscore.com/match/football/celtic-QFKRRD8M/vfb-stuttgart-nJQmYp1B/?mid=QPJwAD8O,Play Offs,2026-02-26T20:28:57.682755+00:00
j3iStfwn,26.02.2026,21:00,EUROPE - Europa League,Unknown,Bologna,Brann,0M9xNN8N,QBbt6ivB,0,0,scheduled,https://www.flashscore.com/match/football/bologna-0M9xNN8N/brann-QBbt6ivB/?mid=j3iStfwn,Play Offs,2026-02-26T20:28:57.682755+00:00
QupxJVTs,26.02.2026,21:00,EUROPE - Europa League,Unknown,Celta Vigo,PAOK,8pvUZFhf,Kry6HxA9,0,0,scheduled,https://www.flashscore.com/match/football/celta-vigo-8pvUZFhf/paok-Kry6HxA9/?mid=QupxJVTs,Play Offs,2026-02-26T20:28:57.682755+00:00
tjTqLwHP,26.02.2026,21:00,EUROPE - Europa League,Unknown,Genk,Din. Zagreb,8G5ufQTg,r3jWUIiN,0,0,scheduled,https://www.flashscore.com/match/football/din-zagreb-8G5ufQTg/genk-r3jWUIiN/?mid=tjTqLwHP,Play Offs,2026-02-26T20:28:57.682755+00:00
25ceSfOh,26.02.2026,21:00,EUROPE - Europa League,Unknown,Nottingham,Fenerbahce,MsbmracL,UsushcZr,0,1,scheduled,https://www.flashscore.com/match/football/fenerbahce-MsbmracL/nottingham-UsushcZr/?mid=25ceSfOh,Play Offs,2026-02-26T20:28:57.682755+00:00
rPsbIFt0,26.02.2026,18:45,EUROPE - Conference League,vBI4pVY4,Celje,Drita,SpbURe4O,bwWOjXUP,3,2,scheduled,https://www.flashscore.com/match/football/celje-SpbURe4O/drita-bwWOjXUP/?mid=rPsbIFt0,Play Offs,2026-02-26T20:28:57.682755+00:00
OKAX1fdJ,26.02.2026,18:45,EUROPE - Conference League,vBI4pVY4,Fiorentina,Jagiellonia,Q3A3IbXH,lIDaZJTc,2,4,scheduled,https://www.flashscore.com/match/football/fiorentina-Q3A3IbXH/jagiellonia-lIDaZJTc/?mid=OKAX1fdJ,Play Offs,2026-02-26T20:28:57.682755+00:00
jR2JPclQ,26.02.2026,18:45,EUROPE - Conference League,vBI4pVY4,Rijeka,Omonia,GSLWiAPe,zXKuUR5J,3,1,scheduled,https://www.flashscore.com/match/football/omonia-GSLWiAPe/rijeka-zXKuUR5J/?mid=jR2JPclQ,Play Offs,2026-02-26T20:28:57.682755+00:00
lrbe23j2,26.02.2026,18:45,EUROPE - Conference League,vBI4pVY4,Samsunspor,Shkendija,pSc6z7bf,je0pik4r,4,0,scheduled,https://www.flashscore.com/match/football/samsunspor-pSc6z7bf/shkendija-tetovo-je0pik4r/?mid=lrbe23j2,Play Offs,2026-02-26T20:28:57.682755+00:00
xjaH9obS,26.02.2026,21:00,EUROPE - Conference League,Unknown,AZ Alkmaar,Noah,2RxOow1i,IeATrtcs,1,0,scheduled,https://www.flashscore.com/match/football/az-alkmaar-2RxOow1i/noah-IeATrtcs/?mid=xjaH9obS,Play Offs,2026-02-26T20:28:57.682755+00:00
8A70DTb3,26.02.2026,21:00,EUROPE - Conference League,Unknown,Crystal Palace,Zrinjski,AovF1Mia,0C6tPiIc,0,0,scheduled,https://www.flashscore.com/match/football/crystal-palace-AovF1Mia/zrinjski-0C6tPiIc/?mid=8A70DTb3,Play Offs,2026-02-26T20:28:57.682755+00:00
2DKEkQ6d,26.02.2026,21:00,EUROPE - Conference League,Unknown,Lausanne,Sigma Olomouc,Wd10iFbk,drA4fSL4,0,1,scheduled,https://www.flashscore.com/match/football/lausanne-Wd10iFbk/sigma-olomouc-drA4fSL4/?mid=2DKEkQ6d,Play Offs,2026-02-26T20:28:57.682755+00:00
zw3F7bSs,26.02.2026,21:00,EUROPE - Conference League,Unknown,Lech Poznan,KuPS,nLBbqJDS,OpNH7Ouf,0,0,scheduled,https://www.flashscore.com/match/football/kups-nLBbqJDS/lech-poznan-OpNH7Ouf/?mid=zw3F7bSs,Play Offs,2026-02-26T20:28:57.682755+00:00
zLpbA7qH,None,23:00,SOUTH AMERICA - Copa Libertadores,Unknown,Guarani (Par),Juventud (Uru),KYvzpYtb,UcloL6tq,-,-,finished,https://www.flashscore.com/match/football/guarani-KYvzpYtb/juventud-UcloL6tq/?mid=zLpbA7qH,Qualification,2026-02-26T17:57:53.572557+00:00
23T1149M,None,22:00,ALGERIA - Ligue 1,Unknown,Constantine,CR Belouizdad,nBionu2l,vNJLB2jP,-,-,finished,https://www.flashscore.com/match/football/constantine-nBionu2l/cr-belouizdad-vNJLB2jP/?mid=23T1149M,Unknown,2026-02-26T17:57:53.572557+00:00
IuwpEsgS,None,22:00,ALGERIA - Ligue 1,Unknown,MC Alger,Kabylie,Wfaskwf0,tnY2Lfcp,-,-,finished,https://www.flashscore.com/match/football/kabylie-Wfaskwf0/mc-alger-tnY2Lfcp/?mid=IuwpEsgS,Unknown,2026-02-26T17:57:53.572557+00:00
0YyABEQp,26.02.2026,21:15,ARGENTINA - Liga Profesional - Apertura,Unknown,Racing Club,Ind. Rivadavia,Eg51aDC4,OhapHPm9,0,0,scheduled,https://www.flashscore.com/match/football/ind-rivadavia-Eg51aDC4/racing-club-OhapHPm9/?mid=0YyABEQp,Unknown,2026-02-26T20:28:57.682755+00:00
8t0uA1kt,26.02.2026,21:15,ARGENTINA - Liga Profesional - Apertura,Unknown,Sarmiento Junin,Union de Santa Fe,KQ6kGfyc,lr2YMkTK,0,1,scheduled,https://www.flashscore.com/match/football/sarmiento-junin-KQ6kGfyc/union-de-santa-fe-lr2YMkTK/?mid=8t0uA1kt,Unknown,2026-02-26T20:28:57.682755+00:00
