team_id,team_name,rl_ids,team_crest,team_url,last_updated,id,created_at,other_names,abbreviations,search_terms,stadium,country,city
joO7tfhP,Figueirense,catarinense,https://static.flashscore.com/res/image/data/UoIPgeyB-lGWmJ4QE.png,https://www.flashscore.com/team/figueirense/joO7tfhP/,2026-02-17T18:53:53.746403+00:00,75,2026-02-12T04:21:25.053652,,,,,,
QamTNjZC,Joinville,catarinense,https://static.flashscore.com/res/image/data/llyvUmAr-UXxReu5B.png,https://www.flashscore.com/team/joinville/QamTNjZC/,2026-02-17T18:53:53.746426+00:00,76,2026-02-12T04:21:25.053652,,,,,,
UBvz183i,Betim,mineiro,https://static.flashscore.com/res/image/data/4K0tqhwS-tnFvEl3l.png,https://www.flashscore.com/team/betim-fc/UBvz183i/,2026-02-17T18:53:53.746437+00:00,83,2026-02-12T04:21:25.053652,,,,,,
lrhr3fXN,Itabirito,mineiro,https://static.flashscore.com/res/image/data/j7sgGUkl-zVwGfYh0.png,https://www.flashscore.com/team/itabirito/lrhr3fXN/,2026-02-17T18:53:53.746448+00:00,84,2026-02-12T04:21:25.053652,,,,,,
rN3Jxc8g,A. Italiano,liga-de-primera,https://static.flashscore.com/res/image/data/fZSe86hl-6kEqxN0C.png,https://www.flashscore.com/team/a-italiano/rN3Jxc8g/,2026-02-17T18:53:53.746459+00:00,79,2026-02-14T19:59:03.71112,,,,,,
6BcMMext,U. De Concepcion,liga-de-primera,https://static.flashscore.com/res/image/data/nmpUa0FG-Eq74Jcjl.png,https://www.flashscore.com/team/u-de-concepcion/6BcMMext/,2026-02-17T18:53:53.74647+00:00,80,2026-02-14T19:59:03.711202,,,,,,
EogpxU3p,Sp. Luqueno,copa-de-primera,https://static.flashscore.com/res/image/data/6BPq9VdM-4GUthy9Q.png,https://www.flashscore.com/team/sp-luqueno/EogpxU3p/,2026-02-17T18:53:53.74648+00:00,81,2026-02-12T04:21:25.053652,,,,,,
pxVtG7lc,Ameliano,copa-de-primera,https://static.flashscore.com/res/image/data/ruDjw6fM-zLKsTEF7.png,https://www.flashscore.com/team/sportivo-ameliano/pxVtG7lc/,2026-02-17T18:53:53.746536+00:00,82,2026-02-12T04:21:25.053652,,,,,,
GdemgvJl,Dep. Pasto,primera-a,https://static.flashscore.com/res/image/data/rPpVBxZg-hjn5AE5Q.png,https://www.flashscore.com/team/dep-pasto/GdemgvJl/,2026-02-17T18:53:53.746543+00:00,78,2026-02-12T04:21:25.053652,,,,,,
I1DMa0eR,Bucaramanga,primera-a,https://static.flashscore.com/res/image/data/Eovph8GG-0xyt4W2g.png,https://www.flashscore.com/team/bucaramanga/I1DMa0eR/,2026-02-17T18:53:53.746548+00:00,77,2026-02-12T04:21:25.053652,,,,,,
